Имя Катушки;Тип катушки;Тип оболочки;Толщина стены;Мин. Радиус Изгиба;Единицы измерения;Внутренний диаметр до усадки;Наружный диаметр;Цвет;Плотность Провода;Единицы измерения массы;Наименование;Обозначение;Стандарт;
TRUBKA_305_TV-40T_20_WHTV;SHEATH;TUBE;1.15;10;MM;20;22.3;Белый;0.09804;GRAM;Трубка 305 ТВ-40Т, 20, белая, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40T_20_WHTV;ГОСТ 19034-82;
TRUBKA_305_TV-40T_22_WHTV;SHEATH;TUBE;1.15;10;MM;22;24.3;Белый;0.10731;GRAM;Трубка 305 ТВ-40Т, 22, белая, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40T_22_WHTV;ГОСТ 19034-82;
TRUBKA_305_TV-40T_25_WHTV;SHEATH;TUBE;1.15;10;MM;25;27.3;Белый;0.12121;GRAM;Трубка 305 ТВ-40Т, 25, белая, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40T_25_WHTV;ГОСТ 19034-82;
TRUBKA_305_TV-40T_30_WHTV;SHEATH;TUBE;1.3;10;MM;30;32.6;Белый;0.17719;GRAM;Трубка 305 ТВ-40Т, 30, белая, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40T_30_WHTV;ГОСТ 19034-82;
TRUBKA_305_TV-40T_35_WHTV;SHEATH;TUBE;1.3;10;MM;35;37.6;Белый;0.2054;GRAM;Трубка 305 ТВ-40Т, 35, белая, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40T_35_WHTV;ГОСТ 19034-82;
TRUBKA_305_TV-40T_40_WHTV;SHEATH;TUBE;2;12;MM;40;44;Белый;0.29449;GRAM;Трубка 305 ТВ-40Т, 40, белая, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40T_40_WHTV;ГОСТ 19034-82;
TRUBKA_305_TV-40T_2x1_WHTV;SHEATH;TUBE;1;10;MM;2x1;4;Белый;0.01209;GRAM;Трубка 305 ТВ-40Т, 2x1, белая, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40T_2x1_WHTV;ГОСТ 19034-82;
TRUBKA_305_TV-40T_3x1_WHTV;SHEATH;TUBE;1;10;MM;3x1;5;Белый;0.01612;GRAM;Трубка 305 ТВ-40Т, 3x1, белая, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40T_3x1_WHTV;ГОСТ 19034-82;
TRUBKA_305_TV-40T_4x1-2_WHTV;SHEATH;TUBE;1.2;12;MM;4x1.2;6.4;Белый;0.02515;GRAM;Трубка 305 ТВ-40Т, 4x1,2, белая, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40T_4x1-2_WHTV;ГОСТ 19034-82;
TRUBKA_305_TV-40T_4-5x1-2_WHTV;SHEATH;TUBE;1.2;12;MM;4.5x1.2;6.9;Белый;0.02757;GRAM;Трубка 305 ТВ-40Т, 4,5x1,2, белая, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40T_4-5x1-2_WHTV;ГОСТ 19034-82;
