Имя Катушки;Тип катушки;Тип оболочки;Толщина стены;Мин. Радиус Изгиба;Единицы измерения;Внутренний диаметр до усадки;Наружный диаметр;Цвет;Плотность Провода;Единицы измерения массы;Наименование;Обозначение;Стандарт;
TRUBKA_305_TV-40_2x1_WHTV;SHEATH;TUBE;1;10;MM;2x1;4;Белый;0.01209;GRAM;Трубка 305 ТВ-40, 2x1, белая, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40_2x1_WHTV;ГОСТ 19034-82;
TRUBKA_305_TV-40_3x1_WHTV;SHEATH;TUBE;1;10;MM;3x1;5;Белый;0.01612;GRAM;Трубка 305 ТВ-40, 3x1, белая, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40_3x1_WHTV;ГОСТ 19034-82;
TRUBKA_305_TV-40_4x1-2_WHTV;SHEATH;TUBE;1.2;12;MM;4x1.2;6.4;Белый;0.02515;GRAM;Трубка 305 ТВ-40, 4x1,2, белая, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40_4x1-2_WHTV;ГОСТ 19034-82;
TRUBKA_305_TV-40_4-5x1-2_WHTV;SHEATH;TUBE;1.2;12;MM;4.5x1.2;6.9;Белый;0.02757;GRAM;Трубка 305 ТВ-40, 4,5x1,2, белая, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40_4-5x1-2_WHTV;ГОСТ 19034-82;
TRUBKA_305_TV-40_5x1-2_WHTV;SHEATH;TUBE;1.2;12;MM;5x1.2;7.4;Белый;0.02999;GRAM;Трубка 305 ТВ-40, 5x1,2, белая, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40_5x1-2_WHTV;ГОСТ 19034-82;
TRUBKA_305_TV-40_50x4-5_WHTV;SHEATH;TUBE;4.5;15;MM;50x4.5;59;Белый;0.98852;GRAM;Трубка 305 ТВ-40, 50x4,5, белая, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40_50x4-5_WHTV;ГОСТ 19034-82;
TRUBKA_305_TV-40_0-5_BLKV;SHEATH;TUBE;0.3;5;MM;0.5;1.1;Черный;0.00097;GRAM;Трубка 305 ТВ-40, 0,5, черная, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40_0-5_BLKV;ГОСТ 19034-82;
TRUBKA_305_TV-40_0-75_BLKV;SHEATH;TUBE;0.3;5;MM;0.75;1.35;Черный;0.00127;GRAM;Трубка 305 ТВ-40, 0,75, черная, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40_0-75_BLKV;ГОСТ 19034-82;
TRUBKA_305_TV-40_1_BLKV;SHEATH;TUBE;0.4;5;MM;1;1.8;Черный;0.00226;GRAM;Трубка 305 ТВ-40, 1, черная, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40_1_BLKV;ГОСТ 19034-82;
TRUBKA_305_TV-40_1-5_BLKV;SHEATH;TUBE;0.4;5;MM;1.5;2.3;Черный;0.00306;GRAM;Трубка 305 ТВ-40, 1,5, черная, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40_1-5_BLKV;ГОСТ 19034-82;
TRUBKA_305_TV-40_1-75_BLKV;SHEATH;TUBE;0.4;5;MM;1.75;2.55;Черный;0.00347;GRAM;Трубка 305 ТВ-40, 1,75, черная, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40_1-75_BLKV;ГОСТ 19034-82;
TRUBKA_305_TV-40_2_BLKV;SHEATH;TUBE;0.4;5;MM;2;2.8;Черный;0.00387;GRAM;Трубка 305 ТВ-40, 2, черная, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40_2_BLKV;ГОСТ 19034-82;
TRUBKA_305_TV-40_2-5_BLKV;SHEATH;TUBE;0.4;5;MM;2.5;3.3;Черный;0.00468;GRAM;Трубка 305 ТВ-40, 2,5, черная, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40_2-5_BLKV;ГОСТ 19034-82;
TRUBKA_305_TV-40_3_BLKV;SHEATH;TUBE;0.4;5;MM;3;3.8;Черный;0.00548;GRAM;Трубка 305 ТВ-40, 3, черная, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40_3_BLKV;ГОСТ 19034-82;
TRUBKA_305_TV-40_3-5_BLKV;SHEATH;TUBE;0.4;5;MM;3.5;4.3;Черный;0.00629;GRAM;Трубка 305 ТВ-40, 3,5, черная, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40_3-5_BLKV;ГОСТ 19034-82;
TRUBKA_305_TV-40_4_BLKV;SHEATH;TUBE;0.6;7;MM;4;5.2;Черный;0.01112;GRAM;Трубка 305 ТВ-40, 4, черная, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40_4_BLKV;ГОСТ 19034-82;
TRUBKA_305_TV-40_4-5_BLKV;SHEATH;TUBE;0.6;7;MM;4.5;5.7;Черный;0.01233;GRAM;Трубка 305 ТВ-40, 4,5, черная, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40_4-5_BLKV;ГОСТ 19034-82;
TRUBKA_305_TV-40_5_BLKV;SHEATH;TUBE;0.6;7;MM;5;6.2;Черный;0.01354;GRAM;Трубка 305 ТВ-40, 5, черная, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40_5_BLKV;ГОСТ 19034-82;
TRUBKA_305_TV-40_6_BLKV;SHEATH;TUBE;0.6;7;MM;6;7.2;Черный;0.01596;GRAM;Трубка 305 ТВ-40, 6, черная, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40_6_BLKV;ГОСТ 19034-82;
TRUBKA_305_TV-40_7_BLKV;SHEATH;TUBE;0.6;7;MM;7;8.2;Черный;0.01838;GRAM;Трубка 305 ТВ-40, 7, черная, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40_7_BLKV;ГОСТ 19034-82;
TRUBKA_305_TV-40_8_BLKV;SHEATH;TUBE;0.6;7;MM;8;9.2;Черный;0.0208;GRAM;Трубка 305 ТВ-40, 8, черная, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40_8_BLKV;ГОСТ 19034-82;
TRUBKA_305_TV-40_9_BLKV;SHEATH;TUBE;0.6;7;MM;9;10.2;Черный;0.02322;GRAM;Трубка 305 ТВ-40, 9, черная, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40_9_BLKV;ГОСТ 19034-82;
TRUBKA_305_TV-40_10_BLKV;SHEATH;TUBE;0.7;7;MM;10;11.4;Черный;0.03019;GRAM;Трубка 305 ТВ-40, 10, черная, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40_10_BLKV;ГОСТ 19034-82;
TRUBKA_305_TV-40_12_BLKV;SHEATH;TUBE;0.7;7;MM;12;13.4;Черный;0.03853;GRAM;Трубка 305 ТВ-40, 12, черная, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40_12_BLKV;ГОСТ 19034-82;
TRUBKA_305_TV-40_14_BLKV;SHEATH;TUBE;0.7;7;MM;14;15.4;Черный;0.04148;GRAM;Трубка 305 ТВ-40, 14, черная, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40_14_BLKV;ГОСТ 19034-82;
TRUBKA_305_TV-40_16_BLKV;SHEATH;TUBE;0.9;10;MM;16;17.8;Черный;0.06131;GRAM;Трубка 305 ТВ-40, 16, черная, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40_16_BLKV;ГОСТ 19034-82;
TRUBKA_305_TV-40_18_BLKV;SHEATH;TUBE;0.9;10;MM;18;19.8;Черный;0.06856;GRAM;Трубка 305 ТВ-40, 18, черная, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40_18_BLKV;ГОСТ 19034-82;
TRUBKA_305_TV-40_20_BLKV;SHEATH;TUBE;1.15;10;MM;20;22.3;Черный;0.09804;GRAM;Трубка 305 ТВ-40, 20, черная, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40_20_BLKV;ГОСТ 19034-82;
TRUBKA_305_TV-40_22_BLKV;SHEATH;TUBE;1.15;10;MM;22;24.3;Черный;0.10731;GRAM;Трубка 305 ТВ-40, 22, черная, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40_22_BLKV;ГОСТ 19034-82;
TRUBKA_305_TV-40_25_BLKV;SHEATH;TUBE;1.15;10;MM;25;27.3;Черный;0.12121;GRAM;Трубка 305 ТВ-40, 25, черная, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40_25_BLKV;ГОСТ 19034-82;
TRUBKA_305_TV-40_30_BLKV;SHEATH;TUBE;1.3;10;MM;30;32.6;Черный;0.17719;GRAM;Трубка 305 ТВ-40, 30, черная, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40_30_BLKV;ГОСТ 19034-82;
TRUBKA_305_TV-40_35_BLKV;SHEATH;TUBE;1.3;10;MM;35;37.6;Черный;0.2054;GRAM;Трубка 305 ТВ-40, 35, черная, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40_35_BLKV;ГОСТ 19034-82;
TRUBKA_305_TV-40_40_BLKV;SHEATH;TUBE;2;12;MM;40;44;Черный;0.29449;GRAM;Трубка 305 ТВ-40, 40, черная, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40_40_BLKV;ГОСТ 19034-82;
TRUBKA_305_TV-40_2x1_BLKV;SHEATH;TUBE;1;10;MM;2x1;4;Черный;0.01209;GRAM;Трубка 305 ТВ-40, 2x1, черная, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40_2x1_BLKV;ГОСТ 19034-82;
TRUBKA_305_TV-40_3x1_BLKV;SHEATH;TUBE;1;10;MM;3x1;5;Черный;0.01612;GRAM;Трубка 305 ТВ-40, 3x1, черная, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40_3x1_BLKV;ГОСТ 19034-82;
TRUBKA_305_TV-40_4x1-2_BLKV;SHEATH;TUBE;1.2;12;MM;4x1.2;6.4;Черный;0.02515;GRAM;Трубка 305 ТВ-40, 4x1,2, черная, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40_4x1-2_BLKV;ГОСТ 19034-82;
TRUBKA_305_TV-40_4-5x1-2_BLKV;SHEATH;TUBE;1.2;12;MM;4.5x1.2;6.9;Черный;0.02757;GRAM;Трубка 305 ТВ-40, 4,5x1,2, черная, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40_4-5x1-2_BLKV;ГОСТ 19034-82;
TRUBKA_305_TV-40_5x1-2_BLKV;SHEATH;TUBE;1.2;12;MM;5x1.2;7.4;Черный;0.02999;GRAM;Трубка 305 ТВ-40, 5x1,2, черная, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40_5x1-2_BLKV;ГОСТ 19034-82;
TRUBKA_305_TV-40_50x4-5_BLKV;SHEATH;TUBE;4.5;15;MM;50x4.5;59;Черный;0.98852;GRAM;Трубка 305 ТВ-40, 50x4,5, черная, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40_50x4-5_BLKV;ГОСТ 19034-82;
